service_id,date,exception_type
BLUS:HAAO001:1:001MFBLUS:O:10,20250702,1
BLUS:HAAO001:1:001MFBLUS:O:10,20250703,1
BLUS:HAAO001:1:001MFBLUS:O:10,20250704,1
BLUS:HAAO001:1:001MFBLUS:O:10,20250707,1
BLUS:HAAO001:1:001MFBLUS:O:10,20250708,1
BLUS:HAAO001:1:001MFBLUS:O:10,20250709,1
BLUS:HAAO001:1:001MFBLUS:O:10,20250710,1
BLUS:HAAO001:1:001MFBLUS:O:10,20250711,1
BLUS:HAAO001:1:001MFBLUS:O:10,20250714,1
BLUS:HAAO001:1:001MFBLUS:O:10,20250715,1
BLUS:HAAO001:1:001MFBLUS:O:10,20250716,1
BLUS:HAAO001:1:001MFBLUS:O:10,20250717,1
BLUS:HAAO001:1:001MFBLUS:O:10,20250718,1
BLUS:HAAO001:1:001MFBLUS:O:10,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:11,20250616,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250617,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250618,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250619,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250620,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250623,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250624,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250625,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250626,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250627,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250630,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250701,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250702,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250703,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250704,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250707,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250708,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250709,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250710,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250711,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250714,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250715,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250716,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250717,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250718,1
BLUS:HAAO001:1:001MFBLUS:O:11,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250616,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250617,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250618,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250619,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250620,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250623,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250624,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250625,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250626,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250627,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250630,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250701,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250702,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250703,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250704,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250707,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250708,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250709,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250710,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250711,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250714,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250715,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250716,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250717,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250718,2
BLUS:HAAO001:1:001MFBLUS:O:12,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:13,20250616,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250617,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250618,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250619,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250620,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250623,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250624,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250625,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250626,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250627,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250630,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250701,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250702,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250703,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250704,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250707,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250708,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250709,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250710,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250711,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250714,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250715,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250716,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250717,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250718,1
BLUS:HAAO001:1:001MFBLUS:O:13,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250616,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250617,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250618,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250619,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250620,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250623,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250624,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250625,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250626,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250627,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250630,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250701,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250702,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250703,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250704,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250707,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250708,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250709,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250710,2
