stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1980SN121027,,"King Georges Avenue",,50.914051871,-1.449671954,,,,,,
1980SN120841,,"Millbrook Roundabout",,50.917862167,-1.458759996,,,,,,
1980SN120842,,"Parkside Avenue",,50.91941615,-1.462284319,,,,,,
1980SN120843,,"Redbridge Roundabout",,50.921676289,-1.468845361,,,,,,
1900HA080032,,"Totton Railway Station [D]",,50.918269003,-1.483067367,,,,,,
1900HA080031,,"Totton, RC Church [C]",,50.91855138,-1.485923665,,,,,,
1900HA080034,,"Totton Asda [A]",,50.918309375,-1.490208332,,,,,,
1900HA080198,,"Batts Corner",,50.915504057,-1.484136413,,,,,,
1900HA080199,,"Bartram Road",,50.913806228,-1.486573346,,,,,,
1900HA080200,,"Rushington Roundabout",,50.913381566,-1.490219467,,,,,,
1900HA080238,,"Culford Way",,50.913757388,-1.493927966,,,,,,
1900HA080237,,"Manor Close",,50.913044017,-1.49740643,,,,,,
1900HA080235,,"Spicers Way",,50.911159787,-1.498379701,,,,,,
1900HA080234,,"Mill Way",,50.908439662,-1.501552183,,,,,,
1900HAA91109,,"Rushington, Cocklydown Lane",,50.907379955,-1.503189989,,,,,,
1900HA080232,,"Knellers Lane",,50.905943081,-1.508704123,,,,,,
1900HA080229,,"Foxhills School",,50.905187887,-1.510888019,,,,,,
1900HA080227,,"Foxhills Close",,50.903227775,-1.513098628,,,,,,
1900HA080225,,"Foxhills, Ashdene Rd/Whartons Lane",,50.901683391,-1.513655118,,,,,,
1900HA080224,,"Dene Way",,50.898864753,-1.517026159,,,,,,
1900HAA13541,,"Ash Grove",,50.897520288,-1.518092307,,,,,,
1900HAA13544,,"New Road Top",,50.895659985,-1.516191931,,,,,,
1900HA080220,,"Ashurst Co-op",,50.894255517,-1.517969577,,,,,,
1900HA080221,,"Ashurst Shopping Parade",,50.892769326,-1.521752712,,,,,,
1900HA080518,,"Ashurst Railway Station",,50.890117134,-1.52853308,,,,,,
1900HA080519,,"Ashurst Lodge",,50.886422338,-1.537810874,,,,,,
1900HA080522,,"Lodgehill Cottage",,50.882432757,-1.547786586,,,,,,
1900HA080523,,"Thatched Cottage Park",,50.875050023,-1.564373169,,,,,,
1900HA080526,,"Queens Road",,50.873292182,-1.568056288,,,,,,
1900HA080655,,"Lymington Sports Ground",,50.758755736,-1.549545947,,,,,,
1900HA080658,,"Lymington, High Street",,50.757950878,-1.543755185,,,,,,
1900HAA91649,,"Lymington, Gosport Street",,50.759569275,-1.538628251,,,,,,
1900HA080213,,"Colbury Hall",,50.901522391,-1.50317607,,,,,,
1900HA080666,,"Priestlands Place",,50.756740468,-1.549310097,,,,,,
1900HA080656,,"Lymington Sports Ground",,50.758224532,-1.549380916,,,,,,
1900HA080653,,"Kings Road",,50.761106943,-1.550615107,,,,,,
1900HA080652,,"Alexandra Road",,50.763573351,-1.551243727,,,,,,
1900HA080649,,"The Monkey House",,50.766526211,-1.552094645,,,,,,
1900HA080566,,"Battramsley Crossroads",,50.783859511,-1.560369269,,,,,,
1900HA080564,,"Boldre Grange",,50.787125165,-1.563119124,,,,,,
1900HA080562,,"Setley, Rosie Lea House",,50.789769914,-1.565775801,,,,,,
1900HA080560,,"The Spinney",,50.793311524,-1.567800254,,,,,,
1900HA080559,,"Setley House",,50.796511128,-1.569757206,,,,,,
1900HA080556,,"The Filly Inn",,50.800686596,-1.572996811,,,,,,
1900HA080554,,"Latchmoor Corner",,50.803127314,-1.581474915,,,,,,
1900HA080552,,"Brockenhurst Golf Club",,50.807642872,-1.581831979,,,,,,
1900HA080550,,"Collyers Road",,50.812554929,-1.579914577,,,,,,
1900HA080548,,"Brockenhurst Primary School",,50.816021398,-1.578620164,,,,,,
1900HA080546,,"Gates Garage",,50.818145224,-1.576571118,,,,,,
1900HA080541,,"Brockenhurst College",,50.822327633,-1.571876799,,,,,,
1900HA080540,,"Balmer Lawn Hotel",,50.827614455,-1.571658096,,,,,,
1900HA080537,,"New Park",,50.841513087,-1.573064811,,,,,,
1900HA080536,,"Clay Hills Schools",,50.859937624,-1.572754614,,,,,,
1900HAA91615,,"The Crown Stirrup",,50.862329861,-1.572818019,,,,,,
1900HA080533,,Foxlease,,50.864337407,-1.573424901,,,,,,
1900HA080529,,"Goose Green",,50.867493267,-1.575755047,,,,,,
1900HA080531,,"Lyndhurst, Crown Hotel",,50.872636149,-1.57801073,,,,,,
